Column1.1,Column1.2,Column1.3,Column1.4,Column1.5
1539849521291,35.45,27.47,7.98,7.99
1539849521291,35.39,27.49,7.9,8
1539849521291,35.43,27.37,8.06,7.99
1539849521291,35.39,27.41,7.98,7.99
1539849521307,35.43,27.41,8.02,7.99
1539849521493,35.45,27.47,7.98,7.99
1539849521493,35.39,27.49,7.9,8
1539849521493,35.43,27.37,8.06,7.99
1539849521493,35.39,27.41,7.98,7.99
1539849521509,35.43,27.41,8.02,7.99
1539849521509,35.43,27.49,7.94,7.99
1539849521681,35.45,27.37,8.08,7.99
1539849521681,35.37,27.41,7.96,7.98
1539849521884,35.51,27.37,8.14,7.99
1539849522087,35.43,27.47,7.96,7.99
1539849522274,35.39,27.41,7.98,7.98
1539849522493,35.45,27.47,7.98,7.99
1539849522680,35.39,27.49,7.9,7.98
1539849522884,35.45,27.47,7.98,7.99
1539849523087,35.37,27.41,7.96,7.98
1539849523275,35.45,27.43,8.02,7.98
1539849523493,35.45,27.47,7.98,7.99
1539849523681,35.45,27.49,7.96,7.98
1539849523884,35.45,27.47,7.98,7.98
1539849524087,35.45,27.49,7.96,7.98
1539849524290,35.45,27.53,7.92,7.98
1539849524478,35.39,27.47,7.92,7.98
1539849524681,35.51,27.49,8.02,7.98
1539849524884,35.47,27.47,8,7.98
1539849525072,35.45,27.47,7.98,7.98
1539849525290,35.39,27.47,7.92,7.98
1539849525478,35.39,27.55,7.84,7.98
1539849525681,35.43,27.55,7.88,7.97
1539849525884,35.37,27.47,7.9,7.98
1539849526072,35.43,27.49,7.94,7.98
1539849526290,35.47,27.41,8.06,7.97
1539849526478,35.39,27.41,7.98,7.98
1539849526681,35.45,27.37,8.08,7.97
1539849526884,35.47,27.41,8.06,7.97
1539849527088,35.39,27.41,7.98,7.97
1539849527291,35.39,27.47,7.92,7.97
1539849527478,35.45,27.49,7.96,7.98
1539849527681,35.37,27.49,7.88,7.97
1539849527885,35.45,27.49,7.96,7.97
1539849528088,35.45,27.59,7.86,7.97
1539849528275,35.37,27.49,7.88,7.97
1539849528478,35.45,27.49,7.96,7.97
1539849528681,35.39,27.37,8.02,7.97
1539849528884,35.45,27.53,7.92,7.97
1539849529087,35.37,27.49,7.88,7.97
1539849529275,35.45,27.49,7.96,7.96
1539849529478,35.45,27.49,7.96,7.97
1539849529681,35.43,27.49,7.94,7.96
1539849529885,35.45,27.53,7.92,7.97
1539849530088,35.39,27.49,7.9,7.96
1539849530275,35.39,27.47,7.92,7.96
1539849530479,35.37,27.49,7.88,7.96
1539849530682,35.35,27.53,7.82,7.96
1539849530885,35.39,27.53,7.86,7.96
1539849531073,35.37,27.53,7.84,7.96
1539849531276,35.37,27.49,7.88,7.95
1539849531479,35.37,27.49,7.88,7.95
1539849531682,35.35,27.49,7.86,7.95
1539849531885,35.39,27.49,7.9,7.95
1539849532073,35.39,27.47,7.92,7.95
1539849532276,35.31,27.47,7.84,7.94
1539849532479,35.39,27.53,7.86,7.94
1539849532682,35.35,27.47,7.88,7.93
1539849532886,35.37,27.53,7.84,7.94
1539849533073,35.39,27.49,7.9,7.93
1539849533276,35.35,27.37,7.98,7.93
1539849533479,35.31,27.53,7.78,7.93
1539849533682,35.37,27.49,7.88,7.92
1539849533886,35.37,27.53,7.84,7.93
1539849534073,35.35,27.53,7.82,7.92
1539849534276,35.35,27.47,7.88,7.92
1539849534479,35.35,27.49,7.86,7.92
1539849534682,35.37,27.49,7.88,7.91
1539849534886,35.37,27.53,7.84,7.91
1539849535073,35.35,27.53,7.82,7.91
1539849535276,35.31,27.49,7.82,7.91
1539849535480,35.35,27.41,7.94,7.91
1539849535683,35.35,27.47,7.88,7.9
1539849535886,35.39,27.47,7.92,7.9
1539849536074,35.35,27.53,7.82,7.9
1539849536277,35.35,27.49,7.86,7.9
1539849536480,35.37,27.53,7.84,7.9
1539849536683,35.35,27.55,7.8,7.89
1539849536886,35.35,27.53,7.82,7.89
1539849537074,35.35,27.53,7.82,7.89
1539849537277,35.35,27.55,7.8,7.88
1539849537480,35.29,27.53,7.76,7.89
1539849537683,35.35,27.55,7.8,7.88
1539849537871,35.37,27.53,7.84,7.88
1539849538074,35.29,27.55,7.74,7.88
1539849538277,35.35,27.53,7.82,7.87
1539849538480,35.35,27.55,7.8,7.88
1539849538683,35.35,27.49,7.86,7.87
1539849538871,35.35,27.53,7.82,7.87
1539849539074,35.31,27.53,7.78,7.87
1539849539277,35.31,27.49,7.82,7.86
1539849539480,35.29,27.47,7.82,7.87
1539849539683,35.27,27.49,7.78,7.86
1539849539871,35.37,27.53,7.84,7.86
